"","yr_week","lineage","n","pi_mean","pi_median","pi_u","pi_l"
"1","2021_47","BA1",3,7.66666666666667,7.66666666666667,12.3333333333333,3.66666666666667
"2","2021_49","BA1",4,7.5,7.33333333333333,11.6666666666667,3.66666666666667
"3","2021_50","BA1",14,6.38461538461538,6.35164835164835,8.8793956043956,4.0543956043956
"4","2021_51","BA1",63,6.73271889400922,6.69918074756784,8.77242703533026,4.77110855094726
"5","2021_51","BA2",32,2.69758064516129,2.6633064516129,4.24223790322581,1.47963709677419
"6","2021_52","BA1",85,6.09131652661064,6.04817927170868,7.91905462184874,4.37292717086835
"7","2021_52","BA2",410,2.85479157970064,2.83809410221242,4.27380970839048,1.70227413680005
"8","2022_1","BA1",5,5.4,5.2,8.4,2.6
"9","2022_1","BA2",396,2.88753356348293,2.8658675361207,4.40693805140008,1.71678525763969
"10","2022_2","BA2",12,3.57575757575758,3.56060606060606,5.9560606060606,1.65113636363636
"11","2022_3","BA2",26,2.92923076923077,2.83384615384615,4.93853846153846,1.38407692307692
"12","2022_4","BA2",18,2.15032679738562,2.13398692810458,3.41209150326797,1.1828431372549
"13","2022_5","BA2",48,2.5354609929078,2.51507092198582,3.89716312056738,1.44567819148936
"14","2022_6","BA2",10,2.37777777777778,2.33333333333333,3.91111111111111,0.998888888888889
