region_ph,new_from_last_report,dominant_variant_period,new_period,cumulative
NCR,4 (0.5),CM.8.1 (100),2 (0.7),5807
Ilocos,7 (0.8),CM.10 (38.9),18 (6.2),765
CAR,0,CM.10 (66.7),3 (1),1349
Cagayan Valley,0,-,0,1562
Central Luzon,2 (0.2),CM.8.1 (42.9),7 (2.4),1686
Calabarzon,0,XBB (30),10 (3.4),3518
Mimaropa,1 (0.1),BA.2.3.20 (14.3),14 (4.8),638
Bicol,0,BA.2.3.20 (27.8),18 (6.2),738
Western Visayas,797 (91.4),XBB (31.5),124 (42.6),4445
Central Visayas,0,-,0,1194
Eastern Visayas,0,-,0,238
Zamboanga Peninsula,0,-,0,778
Northern Mindanao,0,CM.10 (100),1 (0.3),530
Davao,57 (6.5),CM.8.1 (17.6),74 (25.4),2705
Soccsksargen,1 (0.1),XBC.1 (25),16 (5.5),804
Caraga,3 (0.3),CM.8.1 (25),4 (1.4),628
BARMM,0,-,0,138
